Project name,Repo url,Commit url,Commit hash,Commit message,Commit date,Filename,Buggy file url,Fixed file url,Diff,Buggy line number,Buggy line,Fixed line
Youpp,https://github.com/ambrosechua/Youpp,https://github.com/ambrosechua/Youpp/commit/f21a0dfaaf0f06f37f6b56c37098dc2a5ad9ea1b,f21a0dfaaf0f06f37f6b56c37098dc2a5ad9ea1b,Fixed some inconsistencies from first commit,2014-03-07 21:56:30+08:00,apikey-sample.js,https://github.com/ambrosechua/Youpp/raw/dfa0b9dcc4f31fc2412b135b2ae43d2e08380412/Youpp.app/Contents/Resources/app.nw/apikey-sample.js,https://github.com/ambrosechua/Youpp/raw/f21a0dfaaf0f06f37f6b56c37098dc2a5ad9ea1b/Youpp.app/Contents/Resources/app.nw/apikey-sample.js,"@@ -1,3 +1,3 @@
 module.exports = {
-	key: ""your-youtube-api-key-here""
+	youtubekey: ""your-youtube-api-key-here""
 };
\ No newline at end of file
",2,"key: ""your-youtube-api-key-here""","youtubekey: ""your-youtube-api-key-here"""
Youpp,https://github.com/ambrosechua/Youpp,https://github.com/ambrosechua/Youpp/commit/f21a0dfaaf0f06f37f6b56c37098dc2a5ad9ea1b,f21a0dfaaf0f06f37f6b56c37098dc2a5ad9ea1b,Fixed some inconsistencies from first commit,2014-03-07 21:56:30+08:00,apikey.js,https://github.com/ambrosechua/Youpp/raw/dfa0b9dcc4f31fc2412b135b2ae43d2e08380412/Youpp.app/Contents/Resources/app.nw/apikey.js,https://github.com/ambrosechua/Youpp/raw/f21a0dfaaf0f06f37f6b56c37098dc2a5ad9ea1b/Youpp.app/Contents/Resources/app.nw/apikey.js,"@@ -1,3 +1,3 @@
 module.exports = {
-	key: ""AIzaSyD88ejeWUIVWmU7j5lhZNLyP9q3S6TFtFQ""
+	youtubekey: ""AIzaSyD88ejeWUIVWmU7j5lhZNLyP9q3S6TFtFQ""
 };
\ No newline at end of file
",2,"key: ""AIzaSyD88ejeWUIVWmU7j5lhZNLyP9q3S6TFtFQ""","youtubekey: ""AIzaSyD88ejeWUIVWmU7j5lhZNLyP9q3S6TFtFQ"""
Youpp,https://github.com/ambrosechua/Youpp,https://github.com/ambrosechua/Youpp/commit/97496c570dfae27e599f3a3b80ef512d9a3bcecc,97496c570dfae27e599f3a3b80ef512d9a3bcecc,"Fixed some inconsistencies from first commit


Former-commit-id: f21a0dfaaf0f06f37f6b56c37098dc2a5ad9ea1b",2014-03-07 21:56:30+08:00,apikey-sample.js,https://github.com/ambrosechua/Youpp/raw/2feb5c9179c3046cf02d8d37535e6fbca60bc088/Youpp.app/Contents/Resources/app.nw/apikey-sample.js,https://github.com/ambrosechua/Youpp/raw/97496c570dfae27e599f3a3b80ef512d9a3bcecc/Youpp.app/Contents/Resources/app.nw/apikey-sample.js,"@@ -1,3 +1,3 @@
 module.exports = {
-	key: ""your-youtube-api-key-here""
+	youtubekey: ""your-youtube-api-key-here""
 };
\ No newline at end of file
",2,"key: ""your-youtube-api-key-here""","youtubekey: ""your-youtube-api-key-here"""
Youpp,https://github.com/ambrosechua/Youpp,https://github.com/ambrosechua/Youpp/commit/97496c570dfae27e599f3a3b80ef512d9a3bcecc,97496c570dfae27e599f3a3b80ef512d9a3bcecc,"Fixed some inconsistencies from first commit


Former-commit-id: f21a0dfaaf0f06f37f6b56c37098dc2a5ad9ea1b",2014-03-07 21:56:30+08:00,apikey.js,https://github.com/ambrosechua/Youpp/raw/2feb5c9179c3046cf02d8d37535e6fbca60bc088/Youpp.app/Contents/Resources/app.nw/apikey.js,https://github.com/ambrosechua/Youpp/raw/97496c570dfae27e599f3a3b80ef512d9a3bcecc/Youpp.app/Contents/Resources/app.nw/apikey.js,"@@ -1,3 +1,3 @@
 module.exports = {
-	key: ""AIzaSyD88ejeWUIVWmU7j5lhZNLyP9q3S6TFtFQ""
+	youtubekey: ""AIzaSyD88ejeWUIVWmU7j5lhZNLyP9q3S6TFtFQ""
 };
\ No newline at end of file
",2,"key: ""AIzaSyD88ejeWUIVWmU7j5lhZNLyP9q3S6TFtFQ""","youtubekey: ""AIzaSyD88ejeWUIVWmU7j5lhZNLyP9q3S6TFtFQ"""
Youpp,https://github.com/ambrosechua/Youpp,https://github.com/ambrosechua/Youpp/commit/ee0adab2f2b8f41d1d16653f96fd63c943c88e78,ee0adab2f2b8f41d1d16653f96fd63c943c88e78,"Screw Windows Firewall

But I’m not sure if this will work to resolve it…",2014-07-18 21:52:50+08:00,server.js,https://github.com/ambrosechua/Youpp/raw/1a3344794911f8b533191f4f5180b52eb3db9860/Youpp.app/Contents/Resources/app.nw/server.js,https://github.com/ambrosechua/Youpp/raw/ee0adab2f2b8f41d1d16653f96fd63c943c88e78/Youpp.app/Contents/Resources/app.nw/server.js,"@@ -6,7 +6,7 @@ var fs = require(""fs"");
 var app = http.createServer(handler);
 // var __dirname = path.dirname((window.location + """").replace(""file:///"", ""/""));
 
-app.listen(39322);
+app.listen(39322, ""127.0.0.1"");
 
 var mimeTypes = {
 		""html"": ""text/html"",
",9,app.listen(39322);,"app.listen(39322, ""127.0.0.1"");"
Youpp,https://github.com/ambrosechua/Youpp,https://github.com/ambrosechua/Youpp/commit/1778a8cbbcc7c3f06557ce898dc7487c3a2bb4a6,1778a8cbbcc7c3f06557ce898dc7487c3a2bb4a6,"Screw Windows Firewall

But I’m not sure if this will work to resolve it…


Former-commit-id: ee0adab2f2b8f41d1d16653f96fd63c943c88e78",2014-07-18 21:52:50+08:00,server.js,https://github.com/ambrosechua/Youpp/raw/8fe16bbdbb2ad7f7a483901605a48953dea68183/Youpp.app/Contents/Resources/app.nw/server.js,https://github.com/ambrosechua/Youpp/raw/1778a8cbbcc7c3f06557ce898dc7487c3a2bb4a6/Youpp.app/Contents/Resources/app.nw/server.js,"@@ -6,7 +6,7 @@ var fs = require(""fs"");
 var app = http.createServer(handler);
 // var __dirname = path.dirname((window.location + """").replace(""file:///"", ""/""));
 
-app.listen(39322);
+app.listen(39322, ""127.0.0.1"");
 
 var mimeTypes = {
 		""html"": ""text/html"",
",9,app.listen(39322);,"app.listen(39322, ""127.0.0.1"");"
markdownald,https://github.com/malko/markdownald,https://github.com/malko/markdownald/commit/a08a037fbdd6b615bc0955fa6a226ada22a3027d,a08a037fbdd6b615bc0955fa6a226ada22a3027d,"correct state for modified indicator *
fixes #3",2013-10-16 23:17:42+02:00,editor.js,https://github.com/malko/markdownald/raw/cbfebad2794bbb02e72dbe1ab7e7b690b3878fbf/libs/editor.js,https://github.com/malko/markdownald/raw/a08a037fbdd6b615bc0955fa6a226ada22a3027d/libs/editor.js,"@@ -110,7 +110,7 @@ function fileWatchStart(self){
 	});
 }
 
-Editor.prototype.isDirty = function(){ return !! this.editor.isClean(); }
+Editor.prototype.isDirty = function(){ return !this.editor.isClean(); }
 Editor.prototype.markClean = function(){ ! this.editor.markClean(); return this;}
 
 //-- activeEditor tracking
",113,Editor.prototype.isDirty = function(){ return !! this.editor.isClean(); },Editor.prototype.isDirty = function(){ return !this.editor.isClean(); }
neodym-ide,https://github.com/aaronprojects/neodym-ide,https://github.com/aaronprojects/neodym-ide/commit/e4f1a3e0f857016a082ebaf1584a4899f9cef774,e4f1a3e0f857016a082ebaf1584a4899f9cef774,[FIX] views now get automatically refreshed by calling $scope.init(),2015-04-17 14:11:21+02:00,ComponentsOverviewController.js,https://github.com/aaronprojects/neodym-ide/raw/5d43855ab33e327fb99d795e9fdd66279f305de8/js/controllers/components/ComponentsOverviewController.js,https://github.com/aaronprojects/neodym-ide/raw/e4f1a3e0f857016a082ebaf1584a4899f9cef774/js/controllers/components/ComponentsOverviewController.js,"@@ -278,7 +278,7 @@ angular.module('neodym.controllers')
 										var filePath = localStorage.currentProjectPath + ""/www/tests/unit/"" + componentType + ""/"" + componentName + "".spec.js"";
 										FileService.createFile(testFilePath).then(function (result) {
 											displayAlertBox(""success"", result.msg);
-											$scope.showCustomToast();
+											$scope.init();
 										}, function (failure) {
 											displayAlertBox(""error"", failure.msg);
 										});
",281,$scope.showCustomToast();,$scope.init();
neodym-ide,https://github.com/aaronprojects/neodym-ide,https://github.com/aaronprojects/neodym-ide/commit/01d5b647b157d9c60e1ded6ff4046336f02be156,01d5b647b157d9c60e1ded6ff4046336f02be156,"[REFACTOR] cleaned up app.css
[FIX] fixed JSHint issues",2015-04-21 11:45:48+02:00,HeaderController.js,https://github.com/aaronprojects/neodym-ide/raw/df81ad144bbf41f3fab250b980f14572c0319329/js/controllers/HeaderController.js,https://github.com/aaronprojects/neodym-ide/raw/01d5b647b157d9c60e1ded6ff4046336f02be156/js/controllers/HeaderController.js,"@@ -97,7 +97,7 @@ angular.module('neodym.controllers')
 			} else {
 				$scope.items[i].active = """";
 			}
-		};
+		}
 	};
 
 	/**
",100,};,}
github-reader,https://github.com/azu/github-reader,https://github.com/azu/github-reader/commit/7a371e2db6228ad0a6c1764d481dd4717cd6033a,7a371e2db6228ad0a6c1764d481dd4717cd6033a,fix(list): scroll workaround,2014-04-27 20:42:40+09:00,mainController.js,https://github.com/azu/github-reader/raw/a59b0199ef7c35b554d7b209a08abc26545ab0a6/app/js/main/mainController.js,https://github.com/azu/github-reader/raw/7a371e2db6228ad0a6c1764d481dd4717cd6033a/app/js/main/mainController.js,"@@ -20,7 +20,7 @@ module.exports = function () {
         var cellElement = listController.elementAtIndex(currentIndex);
 
         setImmediate(function () {
-            document.getElementById(""content-list"").scrollTop = cellElement.offsetTop;
+            document.getElementById(""content-list"").scrollTop = cellElement.offsetTop - 50;
         });
     });
     window.Mousetrap.bind('j', function () {
",23,"document.getElementById(""content-list"").scrollTop = cellElement.offsetTop;","document.getElementById(""content-list"").scrollTop = cellElement.offsetTop - 50;"
